"Ano Exercício";"Órgão";"sgl_orgao_orcamento";"Unidade Orçamentária";"nom_res_unidade_orcamentaria";"Ação do Programa de Governo";"cod_subfonte_recurso";"Deputado";"Nome do Deputado";"num_codigo";"Valor Orçado Inicial.";"Valor Orçado Atual.";"Valor Empenhado.";"Valor Liquidado.";"Valor Pago."
"2018";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"Oferta de Transporte Escolar Município";"500042";"  Marquinho Viana";"  Marquinho Viana";"2018.3.11.11101.212.2984.500042.5";"201700,00";"0,00";"0,00";"0,00";"0,00"
"2025";"Secretaria de Turismo";"SETUR";"Assessoria de Planejamento e Gestão - SETUR";"APG";"Apoio à Realização de Evento";"500100";"  Júnior Muniz";"  Júnior Muniz";"2025.3.32.32101.411.3701.500100.5";"0,00";"1273035,00";"1223000,00";"1223000,00";"1223000,00"
"2019";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"Realização do Projeto de Fortalecimento";"500063";"  Zé Raimundo";"  Zé Raimundo";"2019.3.11.11101.212.6598.500063.5";"50000,00";"50000,00";"49560,72";"49560,72";"49560,72"
"2020";"Secretaria da Segurança Pública";"SSP";"Assessoria de Planejamento e Gestão - SSP";"APG";"Aquisição de Armamento para o Sistema";"500094";"  Capitão Alden";"  Capitão Alden";"2020.3.20.20101.314.7874.500094.5";"132200,00";"0,00";"0,00";"0,00";"0,00"
"2017";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Ampliação da Frota de Ambulância";"500069";"  Antonio Henrique Junior";"  Antonio Henrique Junior";"2017.3.19.19601.200.1099.500069.5";"740610,00";"740610,00";"740610,00";"533980,00";"533980,00"
"2019";"Secretaria da Educação";"SEC";"Fundo de Assistência Educacional";"FAED";"Funcionamento de Unidade Escolar";"500062";"  Zé Neto";"  Zé Neto";"2019.3.11.11601.212.6525.500062.5";"0,00";"192760,00";"168449,34";"168449,34";"0,00"
"2018";"Secretaria de Desenvolvimento Rural";"SDR";"Companhia de Desenvolvimento e Ação Regional";"CAR";"Distribuição de Equipamento de Apoio";"500078";"  Jânio Natal";"  Jânio Natal";"2018.3.18.18401.206.1399.500078.5";"306060,00";"306060,00";"273436,30";"273436,30";"273436,30"
"2018";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"Aparelhamento de Unidade Escolar";"500009";"  Bira Corôa";"  Bira Corôa";"2018.3.11.11101.212.7744.500009.5";"26416,00";"0,00";"0,00";"0,00";"0,00"
"2026";"Secretaria de Turismo";"SETUR";"Assessoria de Planejamento e Gestão - SETUR";"APG";"Apoio à Realização de Evento";"500142";"  Vitor Azevedo";"  Vitor Azevedo";"2026.3.32.32101.411.3701.500142.5";"0,00";"2320000,00";"270000,00";"50000,00";"50000,00"
"2023";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Aparelhamento de Unidade de Saúde";"500085";"  Robinho";"  Robinho";"2023.3.19.19601.313.5607.500085.5";"5000,00";"5000,00";"5000,00";"4774,40";"4774,40"
