"num_pagto_nob";"Nº do Pagamento Formatado";"RazaoSocialCredorPagamento";"Data do Pagamento";"val_pagto_nob";"Pagamento_Efetivado";"val_GCV";"Objeto";"num_empenho";"num_codigo_exec"
"1840100012300084641";"18401.0001.23.0008464-1";"CNH INDUSTRIAL BRASIL LTDA.";"15/12/2023 00:00:00";"41163,63";"Sim";"";"Pgt parcial ref aquisição de 01 trator Nf 417007 Ct 74/2023 região 6300 sei 035.7379.2023.0019525-21";"1840100012300074766";"2023.3.18.18401.304.1399.500044.5"
"1840100012300084730";"18401.0001.23.0008473-0";"CNH INDUSTRIAL BRASIL LTDA.";"15/12/2023 00:00:00";"120200,00";"Sim";"";"Pgt parcial ref aquisição de 01 trator Nf 417007 Ct 74/2023 região 6700 sei 035.7379.2023.0019524-41";"1840100012300074774";"2023.3.18.18401.304.1399.500044.5"
"1160100012300000916";"11601.0001.23.0000091-6";"Secretaria da Educação";"05/06/2023 00:00:00";"17581,00";"Sim";"";"Aquisição de 04 computadores completos e 01 impressora - Colégio Polivalente de Conceição do Coité, do município de Conceição do
Coité, processo sei nº 011.7619.2023.0032040-59.";"1160100012300001919";"2023.3.11.11601.306.7744.500067.5"
"1160100012300001106";"11601.0001.23.0000110-6";"Secretaria da Educação";"15/06/2023 00:00:00";"17402,00";"Sim";"";"PROCESSO SEI Nº011.7619.2023.0020534-72 FAED - AQUISIÇÕES DE 04 COMPUTADORES COMPLETO I3 E 01 IMPRESSORA MULTIFUNCIONAL - COLÉGIO ESTADUAL DE BANDIAÇÚ - CONCEIÇÃO DO COITE-NTE04";"1160100012300002303";"2023.3.11.11601.306.7744.500067.5"
"1160100012300000886";"11601.0001.23.0000088-6";"Secretaria da Educação";"25/05/2023 00:00:00";"17576,00";"Sim";"";"Aquisição de 06 computadores e 01 impressora multifuncional - Colégio Estadual do Campo Professor Dídimo Mascarenhas, do
município de Riachão do Jacuípe, SEI: 011.7634.2023.0017190-07";"1160100012300001285";"2023.3.11.11601.306.7744.500067.5"
"1160100012300002341";"11601.0001.23.0000234-1";"Secretaria da Educação";"05/09/2023 00:00:00";"17493,00";"Sim";"";"Aquisição de 03 computadores completos e 03 impressoras para o Colégio Estadual de Bandiaçu, do município de Conceição do Coité - Processo SEI 011.7619.2023.0050503-18";"1160100012300004225";"2023.3.11.11601.306.7744.500067.5"
"1160100012300001823";"11601.0001.23.0000182-3";"Secretaria da Educação";"05/07/2023 00:00:00";"17600,00";"Sim";"";"Aquisição de 05 computadores e 01 impressora - Colégio Estadual Luciberto Oliveira dos Santos, do município de Valente - Processo SEI 011.7619.2023.0018892-24";"1160100012300003474";"2023.3.11.11601.306.7744.500067.5"
"1160100012300000827";"11601.0001.23.0000082-7";"Secretaria da Educação";"25/05/2023 00:00:00";"17600,00";"Sim";"";"PROCESSO SEI Nº011.7619.2023.0016473-01 FAED - AQUISIÇÃO DE COMPUTADOR COMPLETO E IMPRESSORA MULTIFUNCIONAL - COLÉGIO ESTADUAL DE BARROCAS - NTE04";"1160100012300001277";"2023.3.11.11601.306.7744.500067.5"
"1160100012300001440";"11601.0001.23.0000144-0";"Secretaria da Educação";"26/06/2023 00:00:00";"13670,00";"Sim";"";"SEI 011.7619.2023.0016414-43, Aquisição de 02 impressoras multifuncionais - Colégio Estadual Professora Olgarina Pitangueira Pinheiro, do município de Conceição
do Coité.";"1160100012300003024";"2023.3.11.11601.306.7744.500067.5"
"1160100012300001513";"11601.0001.23.0000151-3";"Secretaria da Educação";"26/06/2023 00:00:00";"9692,00";"Sim";"";"Aquisição de 01 Forno industrial e 01 Coifa completa da unidade escolar Colégio Estadual Professora Olgarina Pitangueira Pinheiro, do
município de Conceição do Coité, processo sei nº 011.7619.2023.0040480-34.";"1160100012300003148";"2023.3.11.11601.306.7744.500067.5"
