"num_codigo";"num_codigo_exec";"num_codigo_liqu";"nom_orgao_orcamento_exec"
"2022.3.19.19601.313.1099.500101.5";"2022.3.19.19601.313.1099.500101.5";"2022.4581500.19601.0.500101.313.1099.50140.5";"Secretaria da Saúde"
"2022.3.19.19601.313.1099.500101.5";"2022.3.19.19601.313.1099.500101.5";"2022.4581531.19601.3.500101.313.1099.50140.5";"Secretaria da Saúde"
"2021.3.11.11101.306.7744.500091.5";"2021.3.11.11101.306.7744.500091.5";"2021.4229671.11101.38.500091.306.7744.33443.5";"Secretaria da Educação"
"2021.3.11.11101.306.7744.500091.5";"2021.3.11.11101.306.7744.500091.5";"2021.4246537.11101.38.500091.306.7744.33443.5";"Secretaria da Educação"
"2021.3.11.11101.306.7744.500091.5";"2021.3.11.11101.306.7744.500091.5";"2021.4229629.11101.0.500091.306.7744.33443.5";"Secretaria da Educação"
"2021.3.11.11101.306.7744.500091.5";"2021.3.11.11101.306.7744.500091.5";"2021.4246484.11101.0.500091.306.7744.33443.5";"Secretaria da Educação"
"2023.3.19.19601.313.5607.500038.5";"2023.3.19.19601.313.5607.500038.5";"2023.4926651.19601.3.500038.313.5607.56905.5";"Secretaria da Saúde"
"2023.3.19.19601.313.5607.500038.5";"2023.3.19.19601.313.5607.500038.5";"2023.4927153.19601.0.500038.313.5607.56905.5";"Secretaria da Saúde"
"2025.3.11.11601.422.4224.500074.5";"2025.3.11.11601.422.4224.500074.5";"2025.5662322.11601.1.500074.422.4224.86514.5";"Secretaria da Educação"
"2025.3.11.11601.422.4224.500074.5";"2025.3.11.11601.422.4224.500074.5";"2025.5662404.11601.0.500074.422.4224.86514.5";"Secretaria da Educação"
"2024.3.11.11101.425.7744.500080.5";"2024.3.11.11101.425.7744.500080.5";"2024.5206254.11101.0.500080.425.7744.57478.5";"Secretaria da Educação"
"2024.3.11.11101.425.7744.500080.5";"2024.3.11.11101.425.7744.500080.5";"2024.5205907.11101.38.500080.425.7744.57478.5";"Secretaria da Educação"
"2018.3.11.11101.212.6995.500063.5";"2018.3.11.11101.212.6995.500063.5";"2018.2716329.11101.1.500063.212.6995.22470.5";"Secretaria da Educação"
"2018.3.11.11101.212.6995.500063.5";"2018.3.11.11101.212.6995.500063.5";"2018.2716428.11101.0.500063.212.6995.22470.5";"Secretaria da Educação"
"2023.3.11.11601.306.7744.500072.5";"2023.3.11.11601.306.7744.500072.5";"2023.5090652.11601.0.500072.306.7744.56924.5";"Secretaria da Educação"
"2023.3.11.11601.306.7744.500072.5";"2023.3.11.11601.306.7744.500072.5";"2023.5091866.11601.1.500072.306.7744.56924.5";"Secretaria da Educação"
"2019.3.19.19601.200.5607.500006.5";"2019.3.19.19601.200.5607.500006.5";"2019.3181871.19601.0.500006.200.5607.24530.5";"Secretaria da Saúde"
"2019.3.19.19601.200.5607.500006.5";"2019.3.19.19601.200.5607.500006.5";"2019.3181726.19601.3.500006.200.5607.24530.5";"Secretaria da Saúde"
"2021.3.11.11101.306.7744.500080.5";"2021.3.11.11101.306.7744.500080.5";"2021.4219868.11101.0.500080.306.7744.33593.5";"Secretaria da Educação"
"2021.3.11.11101.306.7744.500080.5";"2021.3.11.11101.306.7744.500080.5";"2021.4219391.11101.38.500080.306.7744.33593.5";"Secretaria da Educação"
"2020.3.18.18401.304.1399.500042.5";"2020.3.18.18401.304.1399.500042.5";"2020.3878075.18401.1.500042.304.1399.31529.5";"Secretaria de Desenvolvimento Rural"
"2020.3.18.18401.304.1399.500042.5";"2020.3.18.18401.304.1399.500042.5";"2020.3878475.18401.0.500042.304.1399.31529.5";"Secretaria de Desenvolvimento Rural"
"2020.3.18.18401.304.1399.500042.5";"2020.3.18.18401.304.1399.500042.5";"2020.3878479.18401.0.500042.304.1399.31529.5";"Secretaria de Desenvolvimento Rural"
"2020.3.18.18401.304.1399.500042.5";"2020.3.18.18401.304.1399.500042.5";"2020.3878265.18401.1.500042.304.1399.31529.5";"Secretaria de Desenvolvimento Rural"
"2024.3.18.18401.417.1399.500129.5";"2024.3.18.18401.417.1399.500129.5";"2024.5205959.18401.1.500129.417.1399.62462.5";"Secretaria de Desenvolvimento Rural"
"2024.3.18.18401.417.1399.500129.5";"2024.3.18.18401.417.1399.500129.5";"2024.5205962.18401.1.500129.417.1399.62462.5";"Secretaria de Desenvolvimento Rural"
"2024.3.18.18401.417.1399.500129.5";"2024.3.18.18401.417.1399.500129.5";"2024.5206334.18401.0.500129.417.1399.62462.5";"Secretaria de Desenvolvimento Rural"
"2024.3.18.18401.417.1399.500129.5";"2024.3.18.18401.417.1399.500129.5";"2024.5206331.18401.0.500129.417.1399.62462.5";"Secretaria de Desenvolvimento Rural"
"2024.3.18.18401.417.1399.500129.5";"2024.3.18.18401.417.1399.500129.5";"2024.5206284.18401.0.500129.417.1399.62462.5";"Secretaria de Desenvolvimento Rural"
"2024.3.18.18401.417.1399.500129.5";"2024.3.18.18401.417.1399.500129.5";"2024.5206023.18401.1.500129.417.1399.62462.5";"Secretaria de Desenvolvimento Rural"
"2024.3.18.18401.417.1399.500129.5";"2024.3.18.18401.417.1399.500129.5";"2024.5206059.18401.1.500129.417.1399.62462.5";"Secretaria de Desenvolvimento Rural"
"2024.3.18.18401.417.1399.500129.5";"2024.3.18.18401.417.1399.500129.5";"2024.5206171.18401.0.500129.417.1399.62462.5";"Secretaria de Desenvolvimento Rural"
"2024.3.11.11101.422.6597.500130.5";"2024.3.11.11101.422.6597.500130.5";"2024.5206187.11101.0.500130.422.6597.62463.5";"Secretaria da Educação"
"2024.3.11.11101.422.6597.500130.5";"2024.3.11.11101.422.6597.500130.5";"2024.5206109.11101.94.500130.422.6597.62463.5";"Secretaria da Educação"
"2023.3.21.21301.308.5793.500063.5";"2023.3.21.21301.308.5793.500063.5";"2023.4926941.21301.0.500063.308.5793.56917.5";"Secretaria do Trabalho, Emprego, Renda e Esporte"
"2023.3.21.21301.308.5793.500063.5";"2023.3.21.21301.308.5793.500063.5";"2023.4943698.21301.0.500063.308.5793.56917.5";"Secretaria do Trabalho, Emprego, Renda e Esporte"
"2023.3.21.21301.308.5793.500063.5";"2023.3.21.21301.308.5793.500063.5";"2023.4943877.21301.1.500063.308.5793.56917.5";"Secretaria do Trabalho, Emprego, Renda e Esporte"
"2023.3.21.21301.308.5793.500063.5";"2023.3.21.21301.308.5793.500063.5";"2023.4926761.21301.1.500063.308.5793.56917.5";"Secretaria do Trabalho, Emprego, Renda e Esporte"
"2019.3.18.18401.206.1399.500030.5";"2019.3.18.18401.206.1399.500030.5";"2019.3181843.18401.1.500030.206.1399.27014.5";"Secretaria de Desenvolvimento Rural"
"2019.3.18.18401.206.1399.500030.5";"2019.3.18.18401.206.1399.500030.5";"2019.3181785.18401.1.500030.206.1399.27014.5";"Secretaria de Desenvolvimento Rural"
"2019.3.18.18401.206.1399.500030.5";"2019.3.18.18401.206.1399.500030.5";"2019.3181929.18401.0.500030.206.1399.27014.5";"Secretaria de Desenvolvimento Rural"
"2019.3.18.18401.206.1399.500030.5";"2019.3.18.18401.206.1399.500030.5";"2019.3181880.18401.0.500030.206.1399.27014.5";"Secretaria de Desenvolvimento Rural"
"2024.3.34.34101.430.5553.500044.5";"2024.3.34.34101.430.5553.500044.5";"2024.5205143.34101.2.500044.430.5553.57460.5";"Secretaria de Políticas para as Mulheres"
"2024.3.34.34101.430.5553.500044.5";"2024.3.34.34101.430.5553.500044.5";"2024.5205625.34101.0.500044.430.5553.57460.5";"Secretaria de Políticas para as Mulheres"
"2020.3.18.18401.304.1399.500036.5";"2020.3.18.18401.304.1399.500036.5";"2020.3878650.18401.0.500036.304.1399.30268.5";"Secretaria de Desenvolvimento Rural"
"2020.3.18.18401.304.1399.500036.5";"2020.3.18.18401.304.1399.500036.5";"2020.3878263.18401.1.500036.304.1399.30268.5";"Secretaria de Desenvolvimento Rural"
"2020.3.18.18401.304.1399.500036.5";"2020.3.18.18401.304.1399.500036.5";"2020.3878764.18401.0.500036.304.1399.30268.5";"Secretaria de Desenvolvimento Rural"
"2020.3.18.18401.304.1399.500036.5";"2020.3.18.18401.304.1399.500036.5";"2020.3878474.18401.0.500036.304.1399.30268.5";"Secretaria de Desenvolvimento Rural"
"2020.3.18.18401.304.1399.500036.5";"2020.3.18.18401.304.1399.500036.5";"2020.3878083.18401.1.500036.304.1399.30268.5";"Secretaria de Desenvolvimento Rural"
"2020.3.18.18401.304.1399.500036.5";"2020.3.18.18401.304.1399.500036.5";"2020.3878216.18401.1.500036.304.1399.30268.5";"Secretaria de Desenvolvimento Rural"
"2019.3.19.19601.200.1099.500004.5";"2019.3.19.19601.200.1099.500004.5";"2019.3181831.19601.3.500004.200.1099.27012.5";"Secretaria da Saúde"
"2019.3.19.19601.200.1099.500004.5";"2019.3.19.19601.200.1099.500004.5";"2019.3181876.19601.0.500004.200.1099.27012.5";"Secretaria da Saúde"
"2020.3.11.11101.306.7744.500112.5";"2020.3.11.11101.306.7744.500112.5";"2020.3878699.11101.0.500112.306.7744.33025.5";"Secretaria da Educação"
"2020.3.11.11101.306.7744.500112.5";"2020.3.11.11101.306.7744.500112.5";"2020.3877821.11101.1.500112.306.7744.33025.5";"Secretaria da Educação"
"2020.3.11.11101.306.7744.500112.5";"2020.3.11.11101.306.7744.500112.5";"2020.3885753.11101.38.500112.306.7744.33025.5";"Secretaria da Educação"
"2021.3.20.20801.314.7877.500074.5";"2021.3.20.20801.314.7877.500074.5";"2021.4219469.20801.1.500074.314.7877.35394.5";"Secretaria da Segurança Pública"
"2021.3.20.20801.314.7877.500074.5";"2021.3.20.20801.314.7877.500074.5";"2021.4219964.20801.0.500074.314.7877.35394.5";"Secretaria da Segurança Pública"
"2021.3.20.20801.314.7877.500074.5";"2021.3.20.20801.314.7877.500074.5";"2021.4233946.20801.99.500074.314.7877.35394.5";"Secretaria da Segurança Pública"
"2025.3.11.11601.425.3363.500143.5";"2025.3.11.11601.425.3363.500143.5";"2025.6180113.11601.0.500143.425.3363.91872.5";"Secretaria da Educação"
"2025.3.11.11601.425.3363.500143.5";"2025.3.11.11601.425.3363.500143.5";"2025.6180169.11601.1.500143.425.3363.91872.5";"Secretaria da Educação"
"2025.3.21.21301.414.4997.500028.5";"2025.3.21.21301.414.4997.500028.5";"2025.5661281.21301.0.500028.414.4997.86490.5";"Secretaria do Trabalho, Emprego, Renda e Esporte"
"2025.3.21.21301.414.4997.500028.5";"2025.3.21.21301.414.4997.500028.5";"2025.5661178.21301.1.500028.414.4997.86490.5";"Secretaria do Trabalho, Emprego, Renda e Esporte"
"2020.3.19.19601.313.1099.500036.5";"2020.3.19.19601.313.1099.500036.5";"2020.3878102.19601.1.500036.313.1099.30268.5";"Secretaria da Saúde"
"2020.3.19.19601.313.1099.500036.5";"2020.3.19.19601.313.1099.500036.5";"2020.3878485.19601.0.500036.313.1099.30268.5";"Secretaria da Saúde"
"2020.3.19.19601.313.1099.500036.5";"2020.3.19.19601.313.1099.500036.5";"2020.3879942.19601.3.500036.313.1099.30268.5";"Secretaria da Saúde"
"2017.3.19.19601.200.5607.500062.5";"2017.3.19.19601.200.5607.500062.5";"2017.2001181.19601.0.500062.200.5607.17125.5";"Secretaria da Saúde"
"2017.3.19.19601.200.5607.500062.5";"2017.3.19.19601.200.5607.500062.5";"2017.2000883.19601.3.500062.200.5607.17125.5";"Secretaria da Saúde"
"2021.3.28.28101.301.7917.500038.5";"2021.3.28.28101.301.7917.500038.5";"2021.4219531.28101.1.500038.301.7917.34617.5";"Secretaria de Ciência, Tecnologia e Inovação"
"2021.3.28.28101.301.7917.500038.5";"2021.3.28.28101.301.7917.500038.5";"2021.4219796.28101.0.500038.301.7917.34617.5";"Secretaria de Ciência, Tecnologia e Inovação"
"2026.3.22.22201.406.7980.500038.5";"2026.3.22.22201.406.7980.500038.5";"2026.6183730.22201.1.500038.406.7980.93672.5";"Secretaria de Cultura"
"2026.3.22.22201.406.7980.500038.5";"2026.3.22.22201.406.7980.500038.5";"2026.6183886.22201.0.500038.406.7980.93672.5";"Secretaria de Cultura"
"2025.3.18.18401.417.1399.500024.5";"2025.3.18.18401.417.1399.500024.5";"2025.5661331.18401.0.500024.417.1399.86489.5";"Secretaria de Desenvolvimento Rural"
"2025.3.18.18401.417.1399.500024.5";"2025.3.18.18401.417.1399.500024.5";"2025.5661261.18401.0.500024.417.1399.86489.5";"Secretaria de Desenvolvimento Rural"
"2025.3.18.18401.417.1399.500024.5";"2025.3.18.18401.417.1399.500024.5";"2025.5661132.18401.1.500024.417.1399.86489.5";"Secretaria de Desenvolvimento Rural"
