"num_codigo";"num_codigo_exec";"num_codigo_liqu";"nom_orgao_orcamento_exec"
"2020.3.12.12201.314.4365.600002.6";"2020.3.12.12201.314.4365.600002.6";"2020.3893094.12201.1.600002.314.4365.46265.6";"Secretaria de Justiça, Direitos Humanos e Desenvolvimento Social"
"2021.3.18.18401.304.7838.600019.6";"2021.3.18.18401.304.7838.600019.6";"2021.4564591.18401.0.600019.304.7838.51524.6";"Secretaria de Desenvolvimento Rural"
"2022.3.17.17301.315.2064.600011.6";"2022.3.17.17301.315.2064.600011.6";"2022.4575077.17301.0.600011.315.2064.51880.6";"Secretaria do Planejamento"
"2022.3.26.26401.305.1162.600030.6";"2022.3.26.26401.305.1162.600030.6";"2022.4724264.26401.1.600030.305.1162.57108.6";"Secretaria de Desenvolvimento Urbano"
"2023.3.11.11301.306.4048.600009.6";"2023.3.11.11301.306.4048.600009.6";"2023.4936079.11301.1.600009.306.4048.55823.6";"Secretaria da Educação"
"2023.3.38.38101.300.6953.600042.6";"2023.3.38.38101.300.6953.600042.6";"2023.5090680.38101.3.600042.300.6953.62132.6";"Secretaria de Justiça e Direitos Humanos"
"2023.3.80.80102.900.8070.600042.6";"2023.3.80.80102.900.8070.600042.6";"2023.4952610.80102.0.600042.900.8070.62132.6";"Encargos Gerais do Estado"
"2024.3.21.21101.413.5914.600058.6";"2024.3.21.21101.413.5914.600058.6";"2024.5231876.21101.7.600058.413.5914.91321.6";"Secretaria do Trabalho, Emprego, Renda e Esporte"
"2024.3.34.34101.430.5558.600005.6";"2024.3.34.34101.430.5558.600005.6";"2024.5657453.34101.1.600005.430.5558.61590.6";"Secretaria de Políticas para as Mulheres"
"2024.3.34.34101.446.3194.600005.6";"2024.3.34.34101.446.3194.600005.6";"2024.5657452.34101.1.600005.446.3194.61590.6";"Secretaria de Políticas para as Mulheres"
"2025.3.11.11301.424.4048.600009.6";"2025.3.11.11301.424.4048.600009.6";"2025.5667379.11301.0.600009.424.4048.90211.6";"Secretaria da Educação"
"2025.3.21.21101.413.6672.600097.6";"2025.3.21.21101.413.6672.600097.6";"2025.6179378.21101.7.600097.413.6672.97539.6";"Secretaria do Trabalho, Emprego, Renda e Esporte"
"2025.3.21.21301.414.5793.600071.6";"2025.3.21.21301.414.5793.600071.6";"2025.5670965.21301.1.600071.414.5793.91375.6";"Secretaria do Trabalho, Emprego, Renda e Esporte"
"2025.3.21.21301.414.7882.600042.6";"2025.3.21.21301.414.7882.600042.6";"2025.5672238.21301.0.600042.414.7882.90193.6";"Secretaria do Trabalho, Emprego, Renda e Esporte"
"2026.3.22.22101.408.7032.600005.6";"2026.3.22.22101.408.7032.600005.6";"2026.6190998.22101.4.600005.408.7032.97030.6";"Secretaria de Cultura"
"2026.3.26.26101.419.1162.600006.6";"2026.3.26.26101.419.1162.600006.6";"2026.6191236.26401.2.600006.419.1162.97031.6";"Secretaria de Desenvolvimento Urbano"
"2026.3.38.38101.400.6953.600148.6";"2026.3.38.38101.400.6953.600148.6";"2026.6193253.38101.3.600148.400.6953.97722.6";"Secretaria de Justiça e Direitos Humanos"
"2026.3.80.80102.900.8070.600030.6";"2026.3.80.80102.900.8070.600030.6";"2026.6187133.80102.0.600030.900.8070.95151.6";"Encargos Gerais do Estado"
"2024.3.21.21101.414.7882.600014.6";"2024.3.21.21301.414.7882.600014.6";"2024.5227565.21101.1.600014.414.7882.61634.6";"Secretaria do Trabalho, Emprego, Renda e Esporte"
"2022.3.26.26101.305.1158.600000.6";"2022.3.26.26401.305.1158.600000.6";"2022.4922691.26101.4.600000.305.1158.51324.6";"Secretaria de Desenvolvimento Urbano"
"2022.3.18.18401.304.1926.600000.6";"2022.3.18.18401.304.1926.600000.6";"2022.4578474.18401.0.600000.304.1926.51324.6";"Secretaria de Desenvolvimento Rural"
"2022.3.22.22101.302.7980.600005.6";"2022.3.22.22101.302.7980.600005.6";"2022.4924779.22202.1.600005.302.7980.51795.6";"Secretaria de Cultura"
"2022.3.80.80102.900.8070.600002.6";"2022.3.80.80102.900.8070.600002.6";"2022.4572034.80102.0.600002.900.8070.46893.6";"Encargos Gerais do Estado"
"2023.3.10.10501.315.7950.600015.6";"2023.3.10.10501.315.7950.600015.6";"2023.4939336.10501.1.600015.315.7950.55829.6";"Secretaria da Agricultura, Pecuária, Irrigação, Pesca e Aquicultura"
"2023.3.21.21101.308.1793.600005.6";"2023.3.21.21101.308.1793.600005.6";"2023.4947709.21101.5.600005.308.1793.55819.6";"Secretaria do Trabalho, Emprego, Renda e Esporte"
"2023.3.26.26401.305.1162.600032.6";"2023.3.26.26401.305.1162.600032.6";"2023.4933187.26401.0.600032.305.1162.57250.6";"Secretaria de Desenvolvimento Urbano"
"2023.3.28.28101.301.7917.600006.6";"2023.3.28.28101.301.7917.600006.6";"2023.4932377.28101.0.600006.301.7917.55820.6";"Secretaria de Ciência, Tecnologia e Inovação"
"2024.3.26.26101.419.1162.600000.6";"2024.3.26.26101.419.1162.600000.6";"2024.5213381.26101.4.600000.419.1162.61620.6";"Secretaria de Desenvolvimento Urbano"
"2024.3.32.32802.411.5893.600025.6";"2024.3.32.32802.411.5893.600025.6";"2024.5220079.32802.1.600025.411.5893.61644.6";"Secretaria de Turismo"
"2025.3.18.18101.417.1399.600108.6";"2025.3.18.18101.417.1399.600108.6";"2025.6181482.18401.1.600108.417.1399.97561.6";"Secretaria de Desenvolvimento Rural"
"2025.3.21.21101.413.6672.600090.6";"2025.3.21.21101.413.6672.600090.6";"2025.6179377.21101.7.600090.413.6672.97528.6";"Secretaria do Trabalho, Emprego, Renda e Esporte"
"2025.3.26.26101.419.1158.600020.6";"2025.3.26.26101.419.1158.600020.6";"2025.5676284.26401.2.600020.419.1158.90222.6";"Secretaria de Desenvolvimento Urbano"
"2026.3.18.18101.417.1399.600108.6";"2026.3.18.18101.417.1399.600108.6";"2026.6196541.18401.1.600108.417.1399.97612.6";"Secretaria de Desenvolvimento Rural"
"2026.3.80.80102.900.8070.600046.6";"2026.3.80.80102.900.8070.600046.6";"2026.6187174.80102.0.600046.900.8070.97011.6";"Encargos Gerais do Estado"
