"Ano Exercício";"Órgão";"sgl_orgao_orcamento";"Unidade Orçamentária";"nom_res_unidade_orcamentaria";"Ministério de Origem da Emenda";"Número da Emenda Parlamentar";"Ano da Emenda";"Deputado";"Ação do Programa de Governo";"COD_SUBFONTE_RECURSO";"num_codigo";"Valor Orçado Inicial";"Valor Orçado Atual";"Valor Empenhado Total";"Valor Liquidado Total";"Valor Pago"
"2025";"Secretaria de Ciência, Tecnologia e Inovação";"SECTI";"Assessoria de Planejamento e Gestão - SECTI";"APG";"MGISP";"24680011";"2023 ";" Lídice da Mata";"Apoio à Produção de Conteúdo Audiovisual";"600046";"2025.3.28.28101.405.5253.600046.6";"0,00";"150000,00";"0,00";"0,00";"0,00"
"2025";"Secretaria de Cultura";"SECULT";"Assessoria de Planejamento e Gestão - SECULT";"APG";"MF";"13310004";"2024 ";" Alice Portugal";"Apoio às Filarmônicas";"600058";"2025.3.22.22101.406.3696.600058.6";"0,00";"125000,00";"0,00";"0,00";"0,00"
"2026";"Secretaria de Promoção da Igualdade Racial e dos Povos e Comunidades Tradicionais";"SEPROMI";"Assessoria de Planejamento e Gestão - SEPROMI";"APG";"MF";"13310004";"2024 ";" Alice Portugal";"Apoio Técnico e Financeiro a Projeto";"600058";"2026.3.30.30101.426.3289.600058.6";"0,00";"300000,00";"0,00";"0,00";"0,00"
"2022";"Secretaria de Desenvolvimento Urbano";"SEDUR";"Assessoria de Planejamento e Gestão - SEDUR";"APG";"ME";"27510007";"2020 ";" Waldenor Perei";"Implantação de Infraestrutura Viária";"600002";"2022.3.26.26101.305.1162.600002.6";"0,00";"250000,00";"0,00";"0,00";"0,00"
"2022";"Secretaria de Desenvolvimento Urbano";"SEDUR";"Assessoria de Planejamento e Gestão - SEDUR";"APG";"ME";"24680005";"2021 ";" Lídice da Mata";"Reforma Equipamento Urbano Comunitário";"600005";"2022.3.26.26101.305.7135.600005.6";"0,00";"100000,00";"0,00";"0,00";"0,00"
"2024";"Secretaria do Trabalho, Emprego, Renda e Esporte";"SETRE";"Superintendência dos Desportos do Estado da Bahia";"SUDESB";"MAPA";"36940005";"2022 ";" Jorge Solla";"Requalificação de Equipamento Esportivo";"600036";"2024.3.21.21301.414.1009.600036.6";"0,00";"500000,00";"135704,91";"135704,91";"105766,96"
"2023";"Secretaria de Ciência, Tecnologia e Inovação";"SECTI";"Assessoria de Planejamento e Gestão - SECTI";"APG";"ME";"24680005";"2021 ";" Lídice da Mata";"Implantação de Infraestrutura de Wi-Fi";"600005";"2023.3.28.28101.301.7917.600005.6";"0,00";"200000,00";"0,00";"0,00";"0,00"
"2022";"Secretaria da Agricultura, Pecuária, Irrigação, Pesca e Aquicultura";"SEAGRI";"Assessoria de Planejamento e Gestão - SEAGRI";"APG";"MAPA";"36940005";"2022 ";" Jorge Solla";"Distribuição de Equipamento";"600036";"2022.3.10.10101.304.7385.600036.6";"0,00";"500000,00";"391665,00";"221665,00";"221665,00"
"2026";"Secretaria de Desenvolvimento Rural";"SDR";"Assessoria de Planejamento e Gestão - SDR";"APG";"ME";"35680001";"2022 ";" Paulo Magalhãe";"Distribuição de Equipamento de Apoio";"600035";"2026.3.18.18101.417.1399.600035.6";"0,00";"700000,00";"0,00";"0,00";"0,00"
"2025";"Secretaria de Desenvolvimento Rural";"SDR";"Assessoria de Planejamento e Gestão - SDR";"APG";"MDA";"09032025-075520 ";"";" 2025";"Distribuição de Equipamento de Apoio";"600105";"2025.3.18.18101.417.1399.600105.6";"0,00";"1188000,00";"0,00";"0,00";"0,00"
