"seq_inst_captacao_recurso";"valor_instrument_captacao";"dtc_assinatura"
"14286";"15237094,00";"31/05/2023 00:00:00"
"12834";"1040000,00";"26/04/2022 00:00:00"
"12137";"150000,00";"01/07/2021 00:00:00"
"15785";"1250000,00";"01/06/2024 00:00:00"
"19433";"1287000,00";"29/09/2025 00:00:00"
"13971";"5283367,00";"10/03/2023 00:00:00"
"13171";"6786682,00";"29/04/2022 00:00:00"
"15769";"4000000,00";"01/06/2024 00:00:00"
"19761";"990000,00";"14/11/2025 00:00:00"
"12115";"1064992,00";"01/07/2021 00:00:00"
"19411";"990000,00";"29/09/2025 00:00:00"
"15763";"20317425,00";"01/06/2024 00:00:00"
"12131";"920000,00";"01/07/2021 00:00:00"
"14074";"500000,00";"31/05/2023 00:00:00"
"19450";"495000,00";"30/09/2025 00:00:00"
"14266";"2500000,00";"31/05/2023 00:00:00"
"12136";"2630000,00";"01/07/2021 00:00:00"
"19857";"300000,00";"24/11/2025 00:00:00"
"19473";"5353905,15";"01/10/2025 00:00:00"
"19336";"1278483,03";"11/09/2025 00:00:00"
"18952";"495000,00";"11/09/2025 00:00:00"
"19161";"495000,00";"03/09/2025 00:00:00"
"19152";"990000,00";"11/09/2025 00:00:00"
"19191";"937129,05";"28/08/2025 00:00:00"
"20094";"198000,00";"05/12/2025 00:00:00"
"19710";"9900000,00";"25/08/2025 00:00:00"
"19442";"396000,00";"30/09/2025 00:00:00"
"12146";"3370000,00";"01/07/2021 00:00:00"
"20095";"495000,00";"08/12/2025 00:00:00"
"15790";"7025000,00";"08/05/2024 00:00:00"
"20091";"2286900,00";"11/12/2025 00:00:00"
"15762";"4000000,00";"08/05/2024 00:00:00"
"15757";"6000000,00";"08/05/2024 00:00:00"
"19096";"9900000,00";"25/08/2025 00:00:00"
"13142";"1000000,00";"26/04/2022 00:00:00"
"14262";"300000,00";"05/06/2023 00:00:00"
"19890";"990000,00";"05/08/2025 00:00:00"
"19051";"12037410,00";"20/08/2025 00:00:00"
"15787";"8271585,00";"08/05/2024 00:00:00"
"19772";"270762,03";"17/11/2025 00:00:00"
"19313";"198000,00";"09/09/2025 00:00:00"
"13133";"4819682,00";"26/04/2022 00:00:00"
"14285";"1000000,00";"31/05/2023 00:00:00"
"19853";"435500,00";"24/11/2025 00:00:00"
"14282";"6799997,00";"31/05/2023 00:00:00"
"13155";"4719682,00";"26/04/2022 00:00:00"
"19491";"4441533,03";"01/01/2025 00:00:00"
"19776";"198000,00";"14/11/2025 00:00:00"
"12120";"4139993,00";"01/07/2021 00:00:00"
"19416";"1283629,05";"29/09/2025 00:00:00"
"15759";"8300000,00";"01/06/2024 00:00:00"
"19413";"1287000,00";"29/09/2025 00:00:00"
"14278";"14086851,00";"31/05/2023 00:00:00"
"15814";"2600000,00";"08/05/2024 00:00:00"
"15781";"1300000,00";"01/06/2024 00:00:00"
"19075";"1630129,05";"20/08/2025 00:00:00"
"19459";"2773579,05";"30/09/2025 00:00:00"
"19394";"247500,00";"25/09/2025 00:00:00"
"14274";"573023,00";"31/05/2023 00:00:00"
"19455";"1485000,00";"30/09/2025 00:00:00"
"19071";"1485000,00";"22/08/2025 00:00:00"
"15776";"2800000,00";"08/05/2024 00:00:00"
"13138";"2519682,00";"26/04/2022 00:00:00"
"12145";"3069996,00";"01/07/2021 00:00:00"
"19766";"990000,00";"17/11/2025 00:00:00"
"12147";"4379993,00";"01/07/2021 00:00:00"
"12118";"890000,00";"01/07/2021 00:00:00"
"15766";"18935792,00";"08/05/2024 00:00:00"
"13152";"800000,00";"26/04/2022 00:00:00"
"19758";"5157900,00";"14/11/2025 00:00:00"
"10730";"7770227,00";"02/01/2020 00:00:00"
"12141";"2000000,00";"01/07/2021 00:00:00"
"19437";"990000,00";"29/09/2025 00:00:00"
