MÊS/ANO | DEPUTADO (A) | CATEGORIA | VALOR (R$) | AÇÃO
204051 | 16 | 03/2026 | Paulo Câmara | Divulgação da atividade parlamentar | R$ 3.000,00 |
204043 | 95 | 03/2026 | Laerte do Vando | Divulgação da atividade parlamentar | R$ 16.209,60 |
204058 | 48 | 03/2026 | Dr. Diego Castro | Consultorias | R$ 11.200,00 |
204034 | 35 | 03/2026 | Paulo Câmara | Divulgação da atividade parlamentar | R$ 3.000,00 |
204053 | 715 | 03/2026 | Ivana Bastos | Divulgação da atividade parlamentar | R$ 8.000,00 |
204050 | 202600000000003 | 03/2026 | Ivana Bastos | Assessorias | R$ 9.800,00 |
204044 | 218 | 03/2026 | Ivana Bastos | Divulgação da atividade parlamentar | R$ 8.000,00 |
203829 | MAR.2026 | 03/2026 | Vitor Bonfim | Aluguel de imóveis para escritório; despesas concernentes a eles | R$ 776,78 |
203829 | 127261140 | 02/2026 | Vitor Bonfim | Aquisição ou locação de software; serviços postais e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones. | R$ 1.272,52 |
203965 | 15 | 01/2026 | Rogério Andrade | Divulgação da atividade parlamentar | R$ 15.000,00 |
203963 | 34603 | 03/2026 | Eduardo Salles | Divulgação da atividade parlamentar | R$ 28.000,00 |
203837 | 1319 | 03/2026 | Ludmilla Fiscina | Consultorias | R$ 5.000,00 |
203955 | 5567 | 03/2026 | Luciano Simões Filho | Assessorias | R$ 9.700,00 |
203959 | 820 | 03/2026 | Marcelino Galo | Assessorias | R$ 4.250,00 |
203957 | 52 | 03/2026 | Luciano Simões Filho | Divulgação da atividade parlamentar | R$ 28.700,00 |
